Country Name,Time,GDP (current US$),GDP growth (annual %),GDP deflator (base year varies by country),"Inflation, consumer prices (annual %)",Real interest rate (%),"Official exchange rate (LCU per US$, period average)",Households and NPISHs Final consumption expenditure (current US$),Gross capital formation (current US$),Gross capital formation (% of GDP),General government final consumption expenditure (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Current account balance (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)","External debt stocks, total (DOD, current US$)","Total reserves (includes gold, current US$)","Population, total",Urban population,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Industry (including construction), value added (current US$)","Services, value added (current US$)","Agriculture, forestry, and fishing, value added (current US$)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Literacy rate, youth total (% of people ages 15-24)","Life expectancy at birth, total (years)",Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),Gross savings (% of GDP)
Albania,2000,3584570165,7.462858718,63.79958186,0.050018136,15.27850425,143.7094167,2823803280,1220192675,34.04013922,348834535.6,700083432.9,1508343757,-156300000,3.989320711,143000000,1122051223,646305676.5,3089027,1289391,19.023,60.435,778288516.6,1509675385,795022316.8,0.976209998,,74.826,1449.647413,581.374749,0.114,0.940923,29.27782996
Albania,2001,4059064033,8.86373066,66.20223922,3.10758827,15.31159506,143.4848333,3011758952,1551700838,38.22804532,430013488.8,836717868.6,1771127115,-217400000,5.107088686,207300000,1154309753,770581227.4,3060173,1298584,18.57,59.888,989869733.4,1712886544,830176232.1,0.987320006,99,75.083,1351.230796,598.2283171,0.326,12.4732,32.36919134
Albania,2002,4515003117,4.628395874,68.78669613,7.770525834,10.97195321,140.1545159,3424070403,1741677614,38.57533582,507312454.3,910729673.6,2068787029,-407520000,2.990031159,135000000,1180426822,866478231.3,3051010,1327220,17.891,59.61,1184661263,1845250236,892341444.6,,,75.299,1578.165919,661.1179516,0.39,27.153,29.18838407
Albania,2003,5801712040,5.33326426,72.18303413,0.484002612,8.894190774,121.86325,4451236601,2130512147,36.72212843,641119015.5,1169850276,2591006000,-406814698.3,3.068687302,178036400.7,1550382968,1038294231,3039616,1354848,16.985,58.557,1571375591,2268327565,1149181094,,,75.557,1469.264539,649.3578811,0.972,35.278,29.33397447
Albania,2004,7406645793,5.266261739,74.41736362,2.280019169,8.405960014,102.7800512,5511574675,2690978641,36.33194723,828698300.2,1596261949,3220867773,-357925427.3,4.607822786,341285112.5,1603744699,1387912854,3026939,1381828,16.306,57.496,2053861043,2930061582,1374901583,0.980199993,,75.951,1797.525487,716.6231459,2.42,40.6495,31.66423895
Albania,2005,8256658250,5.130821931,76.75682604,2.366581957,9.628600157,99.87025448,6172929198,3169267841,38.38438925,915109694.2,1853023798,3853672282,-571475353.7,3.178998145,262479012.6,2126166749,1439592137,3011487,1407298,15.966,56.428,2323193532,3335535690,1413929433,0.97803998,,76.427,1722.07285,721.0774074,6.04,49.7453,31.78878463
Albania,2006,9150528132,6.01898124,78.81756899,2.370728319,9.987045502,98.10337709,6889507367,3416711716,37.33895647,965833839.7,2242665600,4364190391,-670904254.7,3.553219138,325138316.8,2517100833,1812802560,2992547,1430886,15.626,55.354,2601351075,3678438856,1467888836,0.985040009,,76.994,1218.360146,707.8906065,9.61,62.6026,30.89470358
Albania,2007,11116937870,6.500092612,82.87633311,2.932682482,8.511737344,90.42789383,8848582072,3965286769,35.66887586,1154592615,3016116393,5867639980,-1150813004,5.867403518,652275603.7,2966604308,2161936583,2970017,1452398,15.966,54.275,3176915635,4507381414,1726743872,0.996869981,,77.691,1213.124369,680.9481662,15,76.8284,25.57671855
Albania,2008,13258506375,6.907062307,85.77587693,3.320870904,9.199158239,83.8946041,10881597723,4415834482,33.30567077,1419320013,3259293798,6717539641,-2013166061,9.406653201,1247181714,4256899003,2363791897,2947314,1473392,13.06,53.192,3786848149,5445935293,2044740165,0.999790013,99,78.248,1617.744156,712.287869,23.9,62.1342,18.10295063
Albania,2009,12335540656,2.690751524,87.98060868,2.266922095,9.837731897,94.97811982,9877783483,4001705984,32.4404588,1420541721,3040047670,6004538202,-1852457562,10.90682015,1345415234,4605163642,2368942443,2927519,1495260,13.674,54.993,3400646095,5181423440,1884774608,1.017809987,95.68000031,78.509,1835.684072,734.0578099,41.2,83.1929,17.45233465
Albania,2010,12086545641,2.973154427,91.61195894,3.626046956,8.35023474,103.9366667,9201562654,3927235665,32.49262263,1412847890,3337086751,5792187320,-1355598479,9.01744998,1089898208,5436572732,2540673823,2913021,1519519,14.086,55.202,3320768055,4993336912,1977190645,1.005689979,,78.414,1943.343354,731.0533975,45,91.9299,21.28972766
Albania,2011,12973755875,2.463516839,93.16459091,3.429123247,10.5583645,100.8958333,9974146861,4390008805,33.83760915,1540378266,3769456502,6700234561,-1667175109,8.083292858,1048706682,6484194296,2471402725,2905195,1546929,13.481,59.938,3495257819,5479987281,2169240907,1.000290036,99,78.303,2205.70392,766.8946175,47,106.474,21.01247473
Albania,2012,12246499748,0.98412988,93.37583211,2.031592684,10.62950543,108.1841667,9465181951,3639050815,29.71502789,1438095810,3565050489,5860879318,-1256644800,7.495975133,917994575.8,7384475900,2599863597,2900401,1575788,13.376,56.995,3111556881,5327952825,2154326905,0.990100026,99,78.084,2118.327776,689.8727501,49.4,120.275,19.45280624
Albania,2013,12796985886,1.707228318,93.70504147,1.937620802,9.440755873,105.6691667,9877672545,3718373850,29.05663789,1505908858,3694413300,5999382666,-1184891052,9.80035898,1254150556,8647046116,2773278107,2895092,1603505,15.866,52.418,3264102058,5455199530,2421806214,0.981589973,,77.995,2533.252829,803.7094643,51.8,126.772,19.82514598
Albania,2014,13296322588,2.240226954,95.05759929,1.625865044,6.436178341,105.48,10411697980,3763495159,28.30478228,1632075527,3732057495,6243003573,-1425385680,8.648466357,1149927986,8512452310,2665215805,2889104,1630119,18.055,53.42,3168336706,5671887292,2557914484,0.976679981,,78.029,2309.366503,810.8728839,54.3,115.701,17.54782441
Albania,2015,11470171827,2.227704075,95.79104119,1.896174026,7.051515885,125.9616667,8904037019,3190252208,27.81346484,1341962126,3104897799,5070977325,-979825099.4,8.62740637,989578334.8,8446920543,3138517990,2880703,1654503,17.193,55.497,2808059695,4918164763,2150331496,0.982420027,,78.358,2098.098971,762.2879863,56.9,117.33,19.28428605
Albania,2016,11988668785,3.908935514,94.96315253,1.275431684,7.664675008,124.1425,9321853593,3214683130,26.81434601,1451232269,3437126545,5436220773,-900363040.5,8.711472254,1044389555,8516067178,3108607052,2876101,1680247,15.418,57.314,2861337723,5208858021,2297891015,0.993550003,,78.643,1994.366679,786.0710452,59.6,116.284,19.31983396
Albania,2017,13258268436,3.283175933,97.55096414,1.986661332,3.40221802,119.1,9980185466,3666917949,27.65759319,1571239613,4110301306,6070375897,-982237928.3,7.714113363,1022757857,9801181002,3588583657,2873457,1706345,13.616,58.057,3043214466,5908166911,2396972720,1.004320025,99.02406311,78.9,2145.151293,824.3735504,62.4,125.1,20.37591784
Albania,2018,15379508330,3.671419281,98.96865984,2.028059631,4.415049426,107.9891667,11453757777,4171737683,27.12529941,1825026901,4785182304,6856194784,-1016226360,7.831091461,1204383364,9650813201,3893560031,2866376,1728969,12.304,59.296,3653185141,6828044658,2755324399,1.01730001,,79.238,2276.742479,823.101982,65.4,93.8031,20.5134894
Albania,2019,15585111614,2.062577902,99.95897277,1.41109079,5.222938044,109.8508333,11773977450,3941089090,25.28752561,1975567388,4821429218,6926959713,-1218856027,7.70621465,1201022154,9274269395,3763661059,2854191,1747593,11.466,60.306,3579202094,7083964904,2830318200,1.018630028,,79.467,2297.673842,817.1765484,68.6,91.1635,17.45293238
Albania,2020,15241455556,-3.313756369,100,1.620886617,6.077294892,108.65,11363042883,3996058579,26.21835273,2083100534,3435540416,5636282434,-1314583006,7.018653013,1069744880,10477224920,4817386149,2837849,1762645,11.69,57.78,3576974731,6968600658,2866329744,1.023990035,,77.824,2354.600262,761.9572681,72.2,91.1881,17.65979035
Albania,2021,18032009220,8.969576191,103.4443911,2.041471631,2.491459942,103.52,12927979167,5192210076,28.79440673,2314449029,5613909458,8016544326,-1369694859,6.757907216,1218586452,11054752382,5634561134,2811666,1770478,11.474,58.869,4045322008,8158374505,3208472474,1.025709987,,76.844,2509.899825,810.0063372,79.3,92.4843,21.14962643
Albania,2022,19017244117,4.826696119,113.6456456,6.725202715,-3.053766608,113.0416667,13570171598,5116696565,26.90556283,2289898998,7073859854,9033376427,-1116775476,7.579341584,1441381891,10420193316,5266463584,2777689,1772138,10.137,60.421,4378731055,8787759312,3229979650,,99.5,78.769,2507.480139,780.7386239,82.6,98.395,21.03459623
Albania,2023,23547180412,3.936616892,120.5394497,4.759764219,0.269279912,100.645,16531612533,5394828986,22.91072176,2836603905,9104536341,10320399921,-281700033.3,6.883977284,1620982551,11363954733,6455445543,2745972,1773980,10.108,60.432,5420201103,11292630547,3819957150,,,79.602,,,83.1,92.9973,21.96512315
Albania,2024,27177735528,3.961719112,123.7806041,2.214489533,3.656149605,93.12333333,18909299264,,,3484984889,9813761314,11675880655,-646106646.8,6.307673584,1714282845,,6515581528,2714617,1774817,10.25,60.675,6089725709,13285509321,4212008467,,,,,,,,22.02146338
Algeria,2000,54790398570,3.800000002,92.58028031,0.339163189,-10.334378,75.25979167,22776943099,12910758510,23.5639069,7442697955,23050166017,11390170996,,0.511220957,280100000,25461612754,13556106802,30903893,18517304,29.77,44.265,29220250835,18141400125,4599680531,0.964209974,,70.576,686.3536578,873.6577871,0.492,0.278282,
Algeria,2001,59413400924,2.999999999,100,4.225988349,1.375406935,77.21502083,24822009697,17469036238,29.40251857,8975106022,20272584009,12125335043,,1.873492382,1113105540,22747999963,19625060613,31331221,19021811,27.3,44.068,24249336149,26137738148,5279581547,0.974020004,,71.025,711.8139443,863.4983253,0.646,0.31917,
Algeria,2002,61516103406,5.4,101.3728559,1.418301923,7.112828503,79.6819,25876641998,19944843183,32.42214978,9736954064,20384692132,14427027970,,1.731188975,1064960000,23038017583,25151012703,31750835,19527081,25.9,43.859,24462933238,27488199955,5175366049,0.98010999,90,71.644,733.2090636,911.4405576,1.59,1.41805,
Algeria,2003,73482264191,6.500000001,110.4380853,4.268953958,-0.75036145,77.394975,28827866409,23573713927,32.08082139,11109881488,26210435497,16239633129,,0.868036712,637853030,23769718849,35454600266,32175818,20040386,23.72,43.653,30892018506,31597400219,6214188970,0.990549982,,71.906,788.5735803,955.8484835,2.2,4.49694,
Algeria,2004,91913680985,4.5,123.0793849,3.961800303,-3.092518538,72.06065,34700876762,30194974785,32.85144764,12837459028,35288382278,21108011868,,0.962586876,884749030,22415754059,45691652467,32628286,20575723,17.65,43.495,41344118700,37977341293,7097734407,0.995850027,,72.536,805.6813036,954.2984093,4.63,14.9637,
Algeria,2005,1.07047E+11,5.4,138.293958,1.382446567,-3.881747501,73.27630833,36928361620,33371864205,31.17507551,13300929408,47497958003,24052494566,21180000000,1.07990333,1156000000,17082006705,59167068864,33109249,21133634,15.27,43.344,51924927768,42308463467,7021478211,0.999260008,,72.836,891.714578,979.3264578,5.84,41.2614,50.72330145
Algeria,2006,1.23084E+11,2.899999999,153.2036837,2.311499185,-2.510519978,72.64661667,39477378554,37370990035,30.36211976,14710347765,56328445411,24802903073,28923000000,1.495723352,1841000000,5899284213,81462730475,33623506,21718431,12.27,43.253,62639282983,47226934187,7835547249,1.00127995,92,73.116,862.8784874,1032.638668,7.38,62.4502,53.69066129
Algeria,2007,1.42483E+11,3.100000001,164.0742753,3.678995747,0.844558437,69.2924,45801718515,47833658525,33.57154599,17650997801,63718503039,32522138070,30353590751,1.183818154,1686736540,6130383258,1.14972E+11,34189416,22342100,13.79,43.181,71771002303,56586061386,9013484884,1.00127995,,73.346,893.6976285,1077.661892,9.45,80.6177,55.8066955
Algeria,2008,1.80384E+11,2.499999999,188.8788309,4.858590628,-6.183124665,64.5828,54893392668,64102888075,35.53693342,24831208929,82340143196,45783784537,33954307487,1.462773446,2638607034,6240543721,1.48099E+11,34816961,23012967,11.33,43.154,93107235982,71384300464,10010854283,0.986199975,94,73.618,944.9417484,1070.72807,10.2,77.6388,56.61939223
Algeria,2009,1.50317E+11,1.2,174.9513815,5.737060361,16.59761447,72.64741667,55127754921,69246536322,46.0669131,24609298910,48982402224,47648700297,431665235.5,1.827421647,2746930734,7414292616,1.55112E+11,35490445,23716845,10.16,43.164,63152623857,69352582763,12042245081,0.979049981,,73.871,862.4856634,1148.767059,11.2,92.2215,47.95155054
Algeria,2010,1.77785E+11,4.800000001,202.1684247,3.911061955,-6.539563571,74.38598333,59139529016,76957509589,43.28682748,30158222148,62203842893,50674049706,12220267767,1.293904675,2300369124,7252969909,1.70461E+11,36188236,24441535,9.96,43.507,80435637988,77518556151,13390264669,0.993629992,,74.144,1010.715195,1151.138897,12.5,90.5824,51.22469178
Algeria,2011,2.18332E+11,2.999999999,236.352494,4.524211505,-7.620226489,72.93788333,66323106746,86795294018,39.75382221,43912900516,78573489719,57272844072,17673868500,1.177673291,2571237025,6053727067,1.91369E+11,36903376,25181388,9.96,43.321,98220961527,97488063919,15465598309,0.994899988,,74.383,1115.96836,1174.268065,14.9,96.5113,49.9884991
Algeria,2012,2.27144E+11,2.4,255.266476,8.891450911,-0.002265261,77.53596667,72593742205,91498903986,40.2823787,44861554380,78098361758,59908816253,12092476753,0.660551954,1500402453,5515694092,2.00587E+11,37646166,25943855,10.97,43.11,98114865840,1.02014E+11,18232764157,,,74.609,1229.341655,1258.837185,18.2,99.6853,48.72145816
Algeria,2013,2.29701E+11,2.600000001,257.5453751,3.25423911,7.044358287,79.3684,79098117135,1.02406E+11,44.58201084,42575344848,70746581763,65124130006,1187894323,0.736559065,1691886708,5245606716,2.01437E+11,38414171,26727044,9.82,42.874,91292201934,1.07485E+11,20948941896,,,74.809,1269.791817,1273.722427,22.5,102.871,46.60919213
Algeria,2014,2.38943E+11,4.099999999,261.2807222,2.916926921,6.455999798,80.57901667,85524287297,1.1206E+11,46.89847934,45383055492,65994736570,70019891159,-9264322929,0.628688968,1502206171,5521188949,1.86351E+11,39205031,27530165,10.207,42.603,92139669562,1.14462E+11,22477514214,,,74.992,1353.091648,1358.047878,29.5,110.44,44.68161381
Algeria,2015,1.87494E+11,3.200000001,248.2513194,4.784447007,13.66835056,100.6914333,74705541235,97083592007,51.77961256,38482111979,38489004323,61266393934,-27037635153,-0.286832291,-537792920.9,4671396333,1.50595E+11,40019529,28353036,11.206,42.453,61416426559,97703744071,19748333505,,,75.159,1438.572653,1414.497021,38.2,108.016,39.04742457
Algeria,2016,1.80764E+11,3.9,250.3780592,6.397694803,7.08263567,109.4430667,74337682806,93349184010,51.64151429,36192251447,33417246978,56532525720,-26204046337,0.906300706,1638263954,5463001797,1.20788E+11,40850721,29191517,10.202,42.326,58215291061,94709388946,20007507648,,,75.31,1470.353485,1371.202077,42.9,115.154,39.76616466
Algeria,2017,1.89881E+11,1.499999999,262.741746,5.59111591,2.917906279,110.9730167,79857872117,91650937092,48.26759226,35752754203,38609773041,55990439550,-22067518024,0.647902696,1230243451,5706818289,1.04853E+11,41689299,30037974,12,42.313,63565848624,97261057614,20947434456,,,75.431,1554.499633,1380.346818,47.7,109.97,39.50714315
Algeria,2018,1.94554E+11,1.400000001,278.9389296,4.269990205,1.728749773,116.5937917,81186389409,90383903116,46.4568595,33859701553,45570702426,56446212848,-16905642521,0.753576089,1466116068,5710491550,87382910154,42505035,30870982,12.137,42.266,68761894287,96160780155,21875375663,,97.4265213,75.555,1568.473006,1442.302112,49,110.938,40.47078677
Algeria,2019,1.9346E+11,0.899999999,281.4019404,1.951768211,7.054714548,119.3535583,82801452806,86340199427,44.62956179,35327719346,39481135535,50490845024,-16954294029,0.713947308,1381200050,5492379099,71795950715,43294546,31686845,12.259,42.182,64952768312,97658571687,22207582618,,74.02999878,75.682,1651.177957,1463.509857,55.8,104.922,38.47101262
Algeria,2020,1.64873E+11,-4.999999999,268.1440146,2.415130941,13.33987672,126.7768,76776334471,70812072871,42.94935768,32650145768,25613416650,40978554436,-18187037296,0.693816015,1143918160,5177878074,59434389110,44042091,32473555,14.057,39.552,49500902373,87060069350,21160133400,,,73.257,1591.977093,1372.000405,63.5,103.437,33.33708651
Algeria,2021,1.86231E+11,3.799999999,310.8663268,7.226063074,-6.842423631,135.0640583,78913407234,72901704668,39.14580511,34319857786,43660727771,43564492198,-4512873533,0.46672848,869194073,7378779147,56211005199,44761099,33240040,13.63,39.852,67641932293,90299708880,20923885198,,,75.208,1681.482396,1451.445177,72.2,105.037,38.28871979
Algeria,2022,2.25638E+11,3.600000001,382.2140738,9.265515516,-12.16031644,141.994975,85650981663,79174548254,35.08911976,37311369645,69516903679,46015346670,19433089541,0.413487956,932987842,7129257356,71852290094,45477389,34004353,12.346,41.398,97132972487,96539761354,23947410815,,,76.129,1756.587213,1500.346113,74.8,107.787,44.0735633
Algeria,2023,2.47626E+11,4.1,385.4813965,9.322173759,7.084596921,135.8429333,1.01009E+11,93416836045,37.72494621,44394285862,58488151165,49682172278,6359214534,0.491067203,1216010864,7315265960,81216738412,46164219,34746884,11.701,41.144,93496332268,1.12957E+11,32406301180,,,76.261,,,76.9,111.606,40.56387784
Algeria,2024,2.6362E+11,3.299999999,392.0350223,4.046114553,6.194570536,134.0532417,,,,,,,,,,,83007108429,46814308,35460902,11.427,40.76,,,,,,,,,,,
Angola,2000,9129594970,3.054624234,16.31765909,324.9968716,-60.78132704,10.04054417,,,,,,,795650000,9.62386615,878620000,9763465564,1198212373,16194869,8111524,16.682,77.389,6584533667,2027898090,517163213.5,,,46.501,76.19697325,428.2226693,0.105,0.159347,
Angola,2001,8936079118,4.205998556,33.67183637,152.5610225,-5.032933217,22.05786167,,,,,,,-1430930000,24.0090757,2145470000,8776917205,731866198.1,16747208,8586963,16.7,77.364,5798068734,2409150080,728860303.9,,72,47.032,83.59602389,428.5994809,0.136,0.447836,
Angola,2002,15285592370,13.66568876,100,108.8974361,-33.5534011,43.53020667,6344720575,4661062145,30.49317313,2924222253,8725779779,7370215354,-150093385.3,11.40619191,1743504000,9119036719,375545950.3,17327699,9090284,16.488,77.339,8571517677,5794397998,892609805.4,,,47.874,86.97057815,429.4242074,0.27,0.807955,28.87681625
Angola,2003,17812704586,2.99,193.9265669,98.22414366,1.128485451,74.60630083,7651123194,5424166519,30.45111141,3892834735,9676099610,8831519472,-719558880.5,20.08101444,3576971780,9114598189,634199422.3,17943712,9625904,16.498,77.313,9461573901,7335803897,1104099920,,,50.218,96.80271284,446.1341321,0.371,1.95054,26.05546133
Angola,2004,23552057679,10.95000001,258.7825821,43.54210675,36.63763102,83.5413625,9800833630,7276096273,30.8936755,3370785320,13749775665,10645433209,681237662,9.329239296,2197227820,9801188918,1379588147,18600423,10198054,16.378,77.29,12866473396,9502660140,1472210370,,,51.123,88.86894669,433.5570801,0.465,3.9784,33.53600551
Angola,2005,36970900884,15.02999999,368.4397585,22.95351385,17.80088858,87.15914167,11813241576,10187915801,27.55657979,5926079447,24225651510,15181987450,5137882651,-3.526657179,-1303836930,12238371900,3196850749,19291161,10803050,16.36,77.272,22331161133,13134550593,1870876558,,,52.13,102.3784934,392.5578024,1.14,8.35159,41.18765335
Angola,2006,52381025141,11.55,431.5006739,13.30521018,2.045114379,80.36807206,15215084418,12205182675,23.30077092,8036151471,33245117539,16320510961,10689818936,-0.072000996,-37714860,9905180986,8149079646,20015279,11361473,16.206,77.26,30438263368,19463137284,2719245781,,,52.965,129.5510295,422.9094587,1.5,15.2614,43.45458359
Angola,2007,65266415494,14.01000001,450.0915879,12.25149745,12.83731632,76.70614275,20220179758,16793426832,25.73057936,10140400359,44319670721,26207262175,10581250705,-1.368762395,-893342152,11941803691,11196800894,20778561,11952659,16.153,77.252,40389166937,22589932332,3421447161,,,54.2,135.1874175,446.7900057,1.7,23.8782,41.49897023
Angola,2008,88538665085,11.16999999,537.2553056,12.47582913,-5.723724308,75.03335417,25495581605,27273497597,30.80405331,14887432594,64168423019,43286269730,7194246953,1.896313897,1678971010,15596027679,17869411576,21578655,12576472,16.228,77.252,53348813629,30402585452,4254583303,0.833090007,,55.281,168.4535019,472.064397,1.9,31.3891,38.65885864
Angola,2009,70307196182,0.860000002,447.1998176,13.73028393,38.97771355,79.32816667,29678134376,30106141240,42.82085316,13990137954,41310610391,44777840385,-7571651746,3.136660683,2205298180,20277281253,13664098154,22414773,13232337,16.431,77.256,30974801389,34443967456,4655177798,0.823400021,,56.225,197.3252194,504.9241668,2.3,36.1789,27.65787363
